on_chain_date,recorded_at_utc,price_close_usd,cycle_percentile,cycle_label,raw_average,signals,mayer_multiple,mvrv,mvrv_z,fear_greed,funding_bp_8h,funding_venue,hash_ribbon_pct,exchange_pct
2026-09-16,2026-09-17T13:35:53.481Z,76082,33,Accumulation,30.8,5,1.083,1.43,0.74,50,0.51,OKX,0.43,13.52
2026-09-17,2026-09-18T06:10:04.278Z,76387,37,Accumulation,33.1,5,1.086,1.436,0.75,56,0.76,OKX,0.54,13.53
2026-09-18,2026-09-19T06:09:31.537Z,80944,50,Mid-cycle,38.9,5,1.15,1.52,0.9,71,1,OKX,1.14,13.54
2026-09-19,2026-09-20T06:33:19.794Z,81262,53,Mid-cycle,39.2,5,1.153,1.526,0.91,71,1,Binance,1.3,13.53
2026-09-20,2026-09-21T06:39:47.184Z,81195,50,Mid-cycle,38.8,5,1.152,1.524,0.91,70,0.93,OKX,1.31,13.55
2026-09-21,2026-09-22T06:27:54.656Z,86505,57,Mid-cycle,41.8,5,1.226,1.621,1.08,78,1,OKX,1.2,13.54
2026-09-22,2026-09-23T06:12:34.290Z,86205,49,Mid-cycle,38.2,5,1.22,1.612,1.06,71,0.21,OKX,1.55,13.47
2026-09-23,2026-09-24T06:22:18.081Z,84434,47,Mid-cycle,37,5,1.193,1.579,1.01,71,0.05,OKX,1.45,13.42
2026-09-24,2026-09-25T06:17:22.630Z,84387,46,Mid-cycle,36.9,5,1.191,1.577,1,71,-0.04,OKX,1.57,13.39
2026-09-25,2026-09-26T06:16:42.784Z,84062,48,Mid-cycle,37.7,5,1.185,1.57,0.99,74,0.17,OKX,1.29,13.37
